Título,Data de Lançamento,Classificação,Sinopse
Willow: Na Terra da Magia,1988,7.2/10,A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.
Borbaad,2025,7.6/10,"After a heartbreak by Nitu, Ariyan Mizra seeks revenge, guided by his father Adib's wisdom. Their story transforms from romance to violence, culminating in courtroom confrontations over just... Read all"
Sikandar,2025,7.2/10,"A fiery youth confronts a powerful network of corruption, challenging the status quo and fighting for the common people's rights in a nation gripped by injustice."
Era Uma Vez em... Hollywood,2019,7.6/10,"As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meet... Read all"
Chhaava,2025,7.7/10,"A historical drama based on the life of Chhatrapati Sambhaji Maharaj, the son of Chhatrapati Shivaji Maharaj."
Um Sonho de Liberdade,1994,9.3/10,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
Top Gun: Maverick,2022,8.2/10,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
Amor à Queima Roupa,1993,7.9/10,"In Detroit, a pop-culture enthusiast steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple."
Interestelar,2014,8.7/10,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Ainda Estou Aqui,2024,8.3/10,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
O Lobo de Wall Street,2013,8.2/10,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Oppenheimer,2023,8.3/10,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
Nezha: O Renascimento da Alma,2025,8.2/10,"After the catastrophe, although the souls of Nezha and Aobing were saved, their bodies would soon be shattered. Taiyi Zhenren planned to use the seven-colored lotus to rebuild their bodies."
O Poderoso Chefão,1972,9.2/10,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
A Substância,2024,7.3/10,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself."
Tombstone: A Justiça Está Chegando,1993,7.8/10,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating."
Beijos e Tiros,2005,7.5/10,"After being mistaken for an actor, a New York thief is sent to Hollywood to train under a private eye for a potential movie role, but the duo are thrown together with a struggling actress in... Read all"
Conclave,2024,7.4/10,"When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a web of conspiracies and intrigue... Read all"
Wicked,2024,7.5/10,"Elphaba, a young woman ridiculed for her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, the... Read all"
Fogo Contra Fogo,1995,8.3/10,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
Flow,2024,7.9/10,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences... Read all"
Anora,2024,7.5/10,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to ... Read all"
Um Completo Desconhecido,2024,7.4/10,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performan... Read all"
O Contador 2,2025,7.5/10,Christian Wolff applies his brilliant mind and illegal methods to reconstruct the unsolved puzzle of a Treasury chief's murder.
O Brutalista,2024,7.4/10,"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, w... Read all"
